1,0,8,,0,5,る, ,2,3,3,0, ,,縩,筿, , , , , , , , , , , ,,ら,Θ,ユ,戈,癟
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
108/05/02,"27,376,394","7,122,135,656",261.50,262.50,258.50,259.00, 0.00,"9,110"
108/05/03,"30,200,246","7,940,572,444",262.00,265.00,260.50,265.00,+6.00,"10,068"
108/05/06,"33,688,187","8,717,053,470",260.00,260.00,258.00,259.00,-6.00,"12,535"
108/05/07,"25,686,126","6,719,199,455",259.50,263.00,259.00,262.50,+3.50,"8,339"
108/05/08,"25,902,364","6,750,083,504",260.00,261.50,259.50,260.00,-2.50,"7,905"
